,Symbol,Company Name,Security Name,Cleaned Name
445,CAAS,"China Automotive Systems, Inc. ","China Automotive Systems, Inc. - Common Stock",China Automotive Systems
446,CAC,Camden National Corporation ,Camden National Corporation - Common Stock,Camden National
447,CACC,Credit Acceptance Corporation ,Credit Acceptance Corporation - Common Stock,Credit Acceptance
448,CACG,ClearBridge All Cap Growth ETF,ClearBridge All Cap Growth ETF,Clear All
449,CADC,"China Advanced Construction Materials Group, Inc. ","China Advanced Construction Materials Group, Inc. - Common Stock",nstruction
450,CAKE,The Cheesecake Factory Incorporated ,The Cheesecake Factory Incorporated - Common Stock,The Cheesecake Factory
451,CALA,"Calithera Biosciences, Inc. ","Calithera Biosciences, Inc. - Common Stock",Calithera Biosciences
452,CALL,magicJack VocalTec Ltd ,magicJack VocalTec Ltd - Ordinary Shares,magicJack VocalTec
453,CAMP,CalAmp Corp. ,CalAmp Corp. - Common Stock,CalAmp
454,CAMT,Camtek Ltd. ,Camtek Ltd. - Ordinary Shares,Camtek
455,CAPR,"Capricor Therapeutics, Inc. ","Capricor Therapeutics, Inc. - Common Stock",Capricor Therapeutics
456,CAR,"Avis Budget Group, Inc. ","Avis Budget Group, Inc. - Common Stock",Avis Budget Group
457,CARA,"Cara Therapeutics, Inc. ","Cara Therapeutics, Inc. - Common Stock",Cara Therapeutics
458,CARB,"Carbonite, Inc. ","Carbonite, Inc. - Common Stock",Carbonite
459,CARG,"CarGurus, Inc. ","CarGurus, Inc. - Class A Common Stock",CarGurus
460,CARO,Carolina Financial Corporation ,Carolina Financial Corporation - Common Stock,Carolina Financial Corporation 
461,CART,"Carolina Trust BancShares, Inc. ","Carolina Trust BancShares, Inc. - Common Stock","Carolina Trust BancShares, Inc. "
462,CARV,"Carver Bancorp, Inc. ","Carver Bancorp, Inc. - Common Stock",Carver Bancorp
463,CARZ,First Trust NASDAQ Global Auto Index Fund,First Trust NASDAQ Global Auto Index Fund,First Trust NASDAQ Global Auto Index Fund
464,CASA,"Casa Systems, Inc. ","Casa Systems, Inc. - Common Stock",Casa Systems
465,CASH,"Meta Financial Group, Inc. ","Meta Financial Group, Inc. - Common Stock",Meta Financial Group
466,CASI,"CASI Pharmaceuticals, Inc. ","CASI Pharmaceuticals, Inc. - Common Stock",CASI Pharmaceuticals
467,CASS,"Cass Information Systems, Inc ","Cass Information Systems, Inc - Common Stock",Cass Information Systems
468,CASY,"Caseys General Stores, Inc. ","Caseys General Stores, Inc. - Common Stock",Caseys General Stores
